Ministry,Institution,Title,Title French
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LEGAL SERVICES BRANCH,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",COMMUNICATIONS BRANCH,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CORPORATE POLICY,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",DEPUTY MINISTER'S OFFICE,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SUPPORT SERVICES UNIT,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",ONTARIO HONOURS AND AWARDS SECRETARIAT,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SERVICES BRANCH,Professional Development,Perfectionnement professionnel
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",WEST REGION,Professional Development,Perfectionnement professionnel
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SUPPORT SERVICES UNIT,Professional Development,Perfectionnement professionnel
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CASE AND GRANTS MANAGEMENT SOLUTIONS,Professional Development,Perfectionnement professionnel
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LABOUR MARKET INTEGRATION UNIT,Professional Development,Perfectionnement professionnel
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EAST REGION,Professional Development,Perfectionnement professionnel
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",NORTH REGION,Professional Development,Perfectionnement professionnel
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CENTRAL REGION,Professional Development,Perfectionnement professionnel
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",SETTLEMENT AND DIVERSITY PROGRAM UNIT,Professional Development,Perfectionnement professionnel
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",PUBLIC AFFAIRS AND NEW MEDIA,Professional Development,Perfectionnement professionnel
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LEGAL SERVICES BRANCH,Professional Development,Perfectionnement professionnel
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EMERGENCY MANAGEMENT AND SECURITY,Professional Development,Perfectionnement professionnel
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LEGAL SERVICES BRANCH,Student Applications,Demandes d'inscription des etudiants
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EMERGENCY MANAGEMENT AND SECURITY,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CASE AND GRANTS MANAGEMENT SOLUTIONS,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",PARLIAMENTARY ASSISTANT,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",DEPUTY MINISTER'S OFFICE,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",WEST REGION,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL AND CORPORATE SERVICES DIVISION,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CORPORATE POLICY,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",MINISTER'S OFFICE,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LEGAL SERVICES BRANCH,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",ONTARIO HONOURS AND AWARDS SECRETARIAT,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SUPPORT SERVICES UNIT,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",PUBLIC AFFAIRS AND NEW MEDIA,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EAST REGION,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE","ONTARIO INTERNAL AUDIT, CULTURE AND INNOVATION AUDIT SERVICE TEAM",Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SERVICES BRANCH,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",NORTH REGION,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CENTRAL REGION,Travel/Expense Accounts,Frais de deplacement et de representation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",HUMAN RESOURCES/STRATEGIC BUSINESS UNIT,Workplace Safety and Insurance,Sécurité professionnelle et assurance contre les accidents du travail
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",NORTH REGION,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EAST REGION,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SERVICES BRANCH,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",ONTARIO HONOURS AND AWARDS SECRETARIAT,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CENTRAL REGION,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EMERGENCY MANAGEMENT AND SECURITY,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",WEST REGION,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SUPPORT SERVICES UNIT,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",DEPUTY MINISTER'S OFFICE,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CENTRAL REGION,Job Compettions,Concours d emploi
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EAST REGION,Job Compettions,Concours d emploi
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",NORTH REGION,Job Compettions,Concours d emploi
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LABOUR MARKET INTEGRATION UNIT,Job Compettions,Concours d emploi
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LEGAL SERVICES BRANCH,Job Compettions,Concours d emploi
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",OFFICE OF THE EXECUTIVE DIRECTOR,Job Compettions,Concours d emploi
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SUPPORT SERVICES UNIT,Job Compettions,Concours d emploi
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",WEST REGION,Job Compettions,Concours d emploi
COMMUNITY AND SOCIAL SERVICES,COMMUNITY AND SOCIAL SERVICES,Career Planning/Training,Planification de carriere et formation
COMMUNITY AND SOCIAL SERVICES,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,Career Planning/Training,Planification de carriere et formation
COMMUNITY AND SOCIAL SERVICES,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,"Co-op, Work Term, Final Job Placements","Programme d'education cooperative, travail pendant la session, placement a la fin des etudes"
COMMUNITY AND SOCIAL SERVICES,BUSINESS PLANNING AND CORPORATE SERVICES DIVISION,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
COMMUNITY AND SOCIAL SERVICES,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
COMMUNITY AND SOCIAL SERVICES,COMMUNITY AND SOCIAL SERVICES,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
COMMUNITY AND SOCIAL SERVICES,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
COMMUNITY AND SOCIAL SERVICES,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,Grievances and Applications,Griefs
COMMUNITY AND SOCIAL SERVICES,COMMUNITY AND SOCIAL SERVICES,CORPAY,CORPAY
COMMUNITY AND SOCIAL SERVICES,FAMILY RESPONSIBILITY OFFICE,Litigation Files,Litiges
COMMUNITY AND SOCIAL SERVICES,COMMUNITY AND SOCIAL SERVICES,Ontario Student Assistance Program,Regime d'aide financiere aux etudiants de l'Ontario
COMMUNITY AND SOCIAL SERVICES,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,Performance Management,Gestion du rendement
COMMUNITY AND SOCIAL SERVICES,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,Workplace Safety and Insurance,Sécurité professionnelle et assurance contre les accidents du travail
COMMUNITY AND SOCIAL SERVICES,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,FRENCH LANGUAGE SERVICES FOR THE JUSTICE SECTOR,"Tests, Examinations and Assessments","Tests, examens et evaluations"
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,HR-STRATEGIC BUSINESS UNIT,Career Planning/Training,Planification de carriere et formation
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,FRENCH LANGUAGE SERVICES FOR THE JUSTICE SECTOR,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,HR-STRATEGIC BUSINESS UNIT,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,FRENCH LANGUAGE SERVICES FOR THE JUSTICE SECTOR,Employment Application Inventory,Repertoire des demandes d'emploi
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,HR-STRATEGIC BUSINESS UNIT,Employment Application Inventory,Repertoire des demandes d'emploi
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,PUBLIC SAFETY DIVISION,FUTURES Program Applicants and Participants,Candidats et participants au programme L'AVENIR
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,JUSTICE SECTOR FREEDOM OF INFORMATION AND PRIVACY - ATTORNEY GENERAL,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,HR-STRATEGIC BUSINESS UNIT,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,HR-STRATEGIC BUSINESS UNIT,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,HR-STRATEGIC BUSINESS UNIT,Grievances and Applications,Griefs
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES,Grievances and Applications,Griefs
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES,Health and Medical Records,Dossiers medicaux
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES,Identity/Employee Card,Identite/Carte des employes
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,HR-STRATEGIC BUSINESS UNIT,Identity/Employee Card,Identite/Carte des employes
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,HR-STRATEGIC BUSINESS UNIT,CORPAY,CORPAY
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES,CORPAY,CORPAY
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,CENTRE OF FORENSIC SCIENCES,Library Users Lists,Liste des utilisateurs des bibliotheques
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,FRENCH LANGUAGE SERVICES FOR THE JUSTICE SECTOR,Library Users Lists,Liste des utilisateurs des bibliotheques
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,HR-STRATEGIC BUSINESS UNIT,Medical Information (Personnel),Renseignements medicaux (Personnel)
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,HR-STRATEGIC BUSINESS UNIT,Ombudsman/Human Rights Commission,Ombudsman/Commission des droits de la personne
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,HR-STRATEGIC BUSINESS UNIT,Performance Management,Gestion du rendement
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,JUSTICE TECHNOLOGY SERVICES,Travel/Expense Accounts,Frais de deplacement et de representation
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,FRENCH LANGUAGE SERVICES FOR THE JUSTICE SECTOR,Travel/Expense Accounts,Frais de deplacement et de representation
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,HR-STRATEGIC BUSINESS UNIT,Travel/Expense Accounts,Frais de deplacement et de representation
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,HR-STRATEGIC BUSINESS UNIT,Workplace Safety and Insurance,Sécurité professionnelle et assurance contre les accidents du travail
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,COMMUNITY SAFETY AND CORRECTIONAL SERVICES,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,FRENCH LANGUAGE SERVICES FOR THE JUSTICE SECTOR,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
COMMUNITY SAFETY AND CORRECTIONAL SERVICES,HR-STRATEGIC BUSINESS UNIT,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
"ECONOMIC DEVELOPMENT, EMPLOYMENT AND INFRASTRUCTURE",ENTREPRENEURSHIP BRANCH,CORPAY,CORPAY
EDUCATION,PROVINCIAL SCHOOLS BRANCH,Scholarships and Awards,Bourses
EDUCATION,PROVINCIAL SCHOOLS BRANCH,"Student Appeals (disciplinary, administrative, academic)","Appels des etudiants (disciplinaires, administratifs, scolaires)"
EDUCATION,PROVINCIAL SCHOOLS BRANCH,Student Athletics and Fitness Programs,Programmes de sports et de conditionnement physique pour etudiants
EDUCATION,PROVINCIAL SCHOOLS BRANCH,Student Registration and Academic History,Inscriptions et antecedents scolaires des etudiants
EDUCATION,FIELD SERVICES BRANCH,"Tests, Examinations and Assessments","Tests, examens et evaluations"
EDUCATION,PROVINCIAL SCHOOLS BRANCH,"Tests, Examinations and Assessments","Tests, examens et evaluations"
EDUCATION,PROVINCIAL SCHOOLS BRANCH,Vocational Testing and Counselling,Orientation professionnelle
EDUCATION,SAFE SCHOOLS AND STUDENT WELL-BEING BRANCH,Workplace Discrimination and Harrassment prevention - Advisor Files,Prévention de la discrimination et du harcèlement au travail - Dossiers des conseillers
EDUCATION,LEGAL SERVICES BRANCH,Workplace Discrimination and Harrassment prevention - Advisor Files,Prévention de la discrimination et du harcèlement au travail - Dossiers des conseillers
EDUCATION,CAPITAL POLICY AND PROGRAMS BRANCH,Workplace Discrimination and Harrassment prevention - Advisor Files,Prévention de la discrimination et du harcèlement au travail - Dossiers des conseillers
EDUCATION,FIELD SERVICES BRANCH,Career Planning/Training,Planification de carriere et formation
EDUCATION,SAFE SCHOOLS AND STUDENT WELL-BEING BRANCH,Career Planning/Training,Planification de carriere et formation
EDUCATION,DEPUTY MINISTER'S OFFICE,Career Planning/Training,Planification de carriere et formation
EDUCATION,"INTERNAL AUDIT SERVICES, EDUCATION AUDIT SERVICE TEAM",Career Planning/Training,Planification de carriere et formation
EDUCATION,CAPITAL POLICY AND PROGRAMS BRANCH,Career Planning/Training,Planification de carriere et formation
EDUCATION,CORPORATE FINANCE AND SERVICES BRANCH,Career Planning/Training,Planification de carriere et formation
EDUCATION,SAFE SCHOOLS AND STUDENT WELL-BEING BRANCH,"Co-op, Work Term, Final Job Placements","Programme d'education cooperative, travail pendant la session, placement a la fin des etudes"
EDUCATION,PROVINCIAL SCHOOLS BRANCH,"Co-op, Work Term, Final Job Placements","Programme d'education cooperative, travail pendant la session, placement a la fin des etudes"
EDUCATION,SAFE SCHOOLS AND STUDENT WELL-BEING BRANCH,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
EDUCATION,FINANCIAL POLICY AND BUSINESS DIVISION,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
EDUCATION,DATA COLLECTION AND DECISION SUPPORT SOLUTIONS BRANCH,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
EDUCATION,CAPITAL POLICY AND PROGRAMS BRANCH,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
EDUCATION,DEPUTY MINISTER'S OFFICE,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
EDUCATION,LEGAL SERVICES BRANCH,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
EDUCATION,FIELD SERVICES BRANCH,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
EDUCATION,CORPORATE MANAGEMENT AND SERVICES DIVISION,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
